State (Emission order)	H3K27ac	H3K4me1	H3K4me3	H3K9me3	H3K27me3	H3K36me3
1	0.983296914	0.110855366	0.998275244	0.023633324	0.010151044	0.022169314
2	0.999969814	0.964719419	0.995415213	0.013740788	0.942797739	0.027178124
3	0.082029469	0.901233255	0.884951728	0.013648	0.971269549	0.00922505
4	0.031800825	0.863195426	0.855377111	0.004811076	0.02203437	0.018740171
5	1	0.999999998	0.989255963	0.006259814	0.025796951	0.020297197
6	0.119625765	0.791343037	3.57E-04	0.002824537	0.03009801	0.007671294
7	0.895855565	0.982681183	0.07834517	0.00731468	0.84670767	0.036450101
8	0.852326865	0.901847484	0.031366901	0.008904256	0.078978636	0.023273735
9	0.561531642	0.928435374	0.869516289	0.074297702	0.180211424	0.970205723
10	0.114912411	0.242677191	0.030681389	0.06497106	0.798905824	0.83290085
11	0.168045733	0.775683735	0.002040077	0.005122298	0.84848324	0.003863724
12	0.017756115	0.004741315	0.002350555	0.010969411	0.758021544	0.001838451
13	0.011914591	0.007525506	0.004925666	0.004197616	0.001103636	0.889104396
14	0.021392269	0.014827876	0.014532009	0.732430035	0.008860203	0.881208143
15	0.377579882	0.70721788	0.043173008	0.011327959	0.021544333	0.870217441
16	6.57E-04	0.001451	3.96E-06	0.003370146	3.36E-04	4.35E-05
17	0.001688982	7.02E-04	6.06E-04	0.52018051	0.001491803	0.004142063
18	0.025766211	0.009392218	8.01E-04	0.004419253	0.026692094	0.012313791
