State (Emission order)	H3K27ac	H3K9ac	H3K4me1	H3K4me2	H3K4me3	H3K9me3	H3K27me3	H3K36me3
1	0.896656311	0.952197044	0.009547778	0.986773157	1	0.008100723	0.014124597	0.004331292
2	0.595629158	0.931657618	0.992691671	1.00E+00	1.00E+00	0.001885473	0.044331782	0.008461931
3	0.105583538	4.88E-01	8.88E-01	9.65E-01	8.10E-01	0.019167782	0.936735609	0.00405695
4	0.928873883	0.924068762	0.860000663	0.976543453	0.980801115	0.130337713	0.855447823	0.148236403
5	0.972967284	0.400719651	0.993951094	0.899230479	0.148066339	0.002364305	0.194503139	0.011319144
6	0.783335273	0.105898128	0.949662618	0.073604269	0.001539151	0.005344822	0.103419673	0.030981221
7	0.157463408	0.063547267	7.98E-01	0.072400011	8.98E-03	0.007523365	0.762718338	0.011660944
8	0.097584737	0.109841328	2.16E-01	0.836907838	0.616804262	0.018496477	0.053377286	0.001189291
9	0.160788422	0.147573791	0.92495621	0.876746726	0.299751013	0.002074497	0.069017185	0.015247935
10	0.43780031	0.534369285	0.984269496	0.805947062	0.546382014	0.021970949	0.081294361	0.856324547
11	0.256630567	0.073294344	0.491894148	0.019197463	0.015104781	0.008265735	0.095348415	0.760382571
12	0.021973088	0.010449366	0.00791063	8.57E-04	0.001057906	0.006284852	0.006435524	0.713709659
13	1.26E-02	1.17E-02	2.03E-02	2.52E-03	1.59E-03	0.013540012	5.65E-01	5.62E-03
14	0.023973849	0.007976523	0.017588173	0.00515106	0.017045845	0.675571274	0.081388305	0.522476497
15	5.17E-04	2.42E-04	1.28E-04	8.10E-05	1.21E-04	0.351591087	0.003931433	0.003858918
16	0.093332887	0.020650773	0.533890905	0.005501618	6.02E-04	0.003964773	0.070120604	0.015147947
17	7.51E-03	0.003902229	7.66E-03	5.03E-04	1.50E-04	8.34E-03	0.050976686	0.009250854
18	5.73E-04	2.61E-04	0.001600584	5.27E-05	4.20E-06	0.004388671	0.002503702	1.77E-04
