State (Emission order)	H3K27ac	H3K9ac	H3K4me1	H3K4me2	H3K4me3	H3K9me3	H3K27me3	H3K36me3	H3K36me3
1	9.20E-01	9.75E-01	1.75E-21	9.49E-01	1.00E+00	0.005480655	0.008112791	2.78E-03	2.78E-03
2	9.93E-01	9.59E-01	9.95E-01	1.00E+00	1.00E+00	2.33E-03	0.049289346	1.51E-02	1.51E-02
3	0.177201868	0.591546673	0.877780295	9.19E-01	8.25E-01	6.09E-02	0.871986428	0.048309693	0.048309693
4	0.060170766	0.053797438	0.166236195	5.93E-01	3.20E-01	1.07E-02	0.041096901	0.00187373	0.00187373
5	0.960004098	0.570474768	0.988051661	0.796500943	8.20E-02	0.001137886	0.026516938	0.018523932	0.018523932
6	0.120255387	0.231425482	0.960636012	0.841348341	0.082716362	2.59E-03	0.070010672	0.034008896	0.034008896
7	0.052489708	0.069022786	0.774498414	5.02E-03	1.04E-04	0.001901852	0.057061363	0.005112567	0.005112567
8	0.794134615	0.145863409	0.89485786	0.041089319	5.16E-05	0.005009224	0.02082631	0.011590066	0.011590066
9	2.14E-01	0.082688246	6.28E-01	1.41E-02	5.58E-03	0.005619498	0.006758828	5.21E-01	5.21E-01
10	0.06902878	0.723214319	0.921232447	1.00E+00	1.00E+00	3.58E-03	0.040335245	0.028939558	0.028939558
11	8.40E-03	7.15E-03	4.60E-03	3.63E-05	1.01E-04	0.00454007	1.30E-03	7.48E-01	7.48E-01
12	0.006094091	0.011738302	6.82E-02	4.13E-03	1.89E-03	0.017784594	0.631142748	0.005750064	0.005750064
13	0.023774032	4.56E-03	1.57E-02	5.01E-03	1.53E-02	0.624370413	0.055805915	0.717550415	0.717550415
14	7.43E-04	3.61E-05	1.71E-04	6.31E-05	6.08E-05	0.328533542	0.005765952	0.014418962	0.014418962
15	3.72E-04	1.04E-04	0.001209062	2.47E-05	1.37E-06	0.004165158	0.001837429	5.46E-04	5.46E-04
16	0.001758479	0.003801366	0.003873032	8.03E-05	4.76E-29	0.006695155	0.046653141	0.001818964	0.001818964
17	4.06E-03	4.93E-03	8.80E-03	5.69E-05	2.82E-05	3.13E-03	0.002663427	1.17E-01	1.17E-01
18	0.063796802	0.007867205	0.181924423	0.001226084	7.01E-06	4.80E-03	0.00312862	0.006555936	0.006555936
