State (Emission order)	H3K27ac	H3K9ac	H3K4me1	H3K4me2	H3K4me3	H3K9me3	H3K27me3	H3K36me3	ATAC
1	0.9108662	0.958406342	0.008455271	0.970006065	0.998805689	0.006116197	0.009786951	0.00601708	0.991381032
2	0.973307154	0.950724581	0.97906079	1	0.996249717	0.003301102	0.041376272	0.026564918	0.964696441
3	0.350364379	0.687277027	0.847291982	0.991095118	0.941950809	0.012808002	0.913101352	0.012037594	0.788792533
4	0.069447336	0.765179871	0.733092103	1	1	0.003797804	0.037153028	0.018746549	0.7253209
5	0.916288417	0.51073349	0.96340701	0.730065484	0.073207769	0.002208451	0.095909102	0.0117411	0.938640877
6	0.561183231	0.122467242	0.880648819	0.041660332	4.26E-04	0.003225116	0.031975266	0.023874355	0.713990434
7	0.060696567	0.208015266	0.631691402	0.718519706	0.190779981	0.004228661	0.047238885	0.018431267	0.448361345
8	0.09782661	0.043137689	0.530125835	0.004758754	4.41E-04	0.002565865	0.040181806	0.017859909	0.046987173
9	0.059223072	0.019159167	0.124790945	0.005825296	9.82E-04	0.006332766	0.023821703	0.005458239	0.69432475
10	0.534026225	0.450304674	0.926190237	0.417149597	0.317070348	0.082067985	0.148908258	0.90753289	0.553652462
11	0.009224917	0.01288097	0.003347485	3.97E-04	8.37E-04	0.004343605	0.001160262	0.864091658	0.010133828
12	0.099816962	0.046227776	0.192318166	0.00517059	0.013488607	0.107128714	0.043005015	0.82551437	0.273626063
13	0.178143068	0.089440311	0.682729083	0.145593751	0.031046082	0.008447321	0.821877314	0.013398591	0.377487203
14	0.006576318	0.011489933	0.01571903	0.001603649	0.001516431	0.012762315	0.60036831	0.006997256	0.016445064
15	0.001167005	3.39E-04	4.48E-04	2.72E-04	8.31E-04	0.379508524	0.004200852	0.022195638	0.004668184
16	0.006246394	0.006659539	0.008531198	3.45E-04	1.86E-04	0.004145973	0.002137556	0.186891588	0.010185029
17	3.43E-04	2.32E-04	8.80E-04	4.44E-05	6.52E-06	0.003847321	0.001257143	4.41E-04	0.002875187
18	0.004413125	0.004920444	0.006512599	3.94E-04	1.17E-04	0.005442241	0.03225841	0.002874326	0.003795805
