State (Emission order)	H3K27ac	H3K9ac	H3K4me1	H3K4me2	H3K4me3	H3K36me3	H3K27me3	H3K9me3
1	0.969760478	0.990806137	7.45E-06	9.85E-01	1.00E+00	0.005135984	0.004611679	2.50E-03
2	0.972095843	0.908492801	0.748185115	1.00E+00	9.96E-01	0.0198729	0.010527816	7.59E-04
3	0.230050349	0.882236264	0.335357895	1.00E+00	9.96E-01	0.003893131	0.51741314	6.57E-03
4	4.25E-02	0.071814827	2.18E-01	8.18E-01	6.35E-01	4.68E-03	0.695658789	0.007237846
5	0.907982415	0.475494175	0.722156262	0.746222413	0.063017044	0.022786823	0.012630402	6.03E-04
6	4.14E-02	6.39E-01	8.21E-01	1.00E+00	9.12E-01	4.97E-02	0.005014883	5.21E-04
7	0.777592661	0.091346103	0.427164264	0.019982422	6.16E-04	0.05778934	0.005742947	0.001128782
8	0.088464342	0.11235886	0.297530581	6.16E-01	8.40E-02	5.35E-04	0.034520117	0.001171869
9	0.032718135	0.105509906	0.50217455	0.319808015	3.09E-02	0.152315517	0.003217977	6.97E-04
10	9.85E-02	5.57E-01	2.22E-01	9.65E-01	1.00E+00	8.91E-05	0.01843901	1.59E-03
11	0.00866072	0.004726941	0.001540385	1.34E-04	1.25E-04	0.772018751	7.12E-04	0.002530046
12	2.85E-03	3.70E-03	1.50E-02	2.12E-03	2.60E-03	4.51E-03	0.495007988	6.50E-03
13	1.69E-01	1.72E-01	0.149492938	1.46E-01	2.71E-01	7.04E-01	0.218674317	0.847791998
14	0.075443038	0.017498384	0.186470747	0.00103136	3.80E-09	0.003885637	0.009798084	5.69E-04
15	9.44E-04	1.17E-03	2.32E-03	1.07E-05	6.39E-05	2.99E-03	1.30E-02	0.003836206
16	2.88E-04	1.44E-04	7.62E-04	3.88E-05	1.94E-05	1.93E-04	0.001197376	0.002833476
17	6.81E-05	1.17E-04	6.16E-05	1.98E-05	7.03E-04	0.007374292	0.001303002	0.221908026
18	0.00485743	0.003386385	5.19E-03	7.71E-10	7.40E-05	0.157317329	0.001152195	0.002348339
