	E10.5	E11.5	E12.5	E13.5	E14.5	E15.5	E16.5	P0
Active Promoter	120.10121	117.76646	122.15828	120.1899	123.01554	134.7511	127.25937	106.57991
Flanking Promoter	28.25714	16.35123	20.90804	21.02193	4.75423	32.29107	31.13138	17.54349
Bivalency/Poised	3.84908	11.12615	20.90804	11.23539	19.72139	6.47103	9.99625	6.48756
Weak Promoter	1.56642	4.15243	1.47627	3.95122	1.0988	1.37426	4.67403	1.63592
Transcribed	30.51545	2.89703	33.9855	2.2037	10.73876	2.44746	2.70109	3.02202
Weak Transcribed	3.1393	11.87642	5.97618	0.67575	2.67945	0	0	0
Active Transcription	0	0	48.558	5.04369	8.07035	7.25918	8.81081	11.5966
Repressive Polycomb	0.57575	0.93217	0.26169	0.32637	3.57581	0	0	0
Weak Repressive Polycomb	0.33064	1.61977	0	0.20714	0.20332	0.12589	0.15386	0
Heterochromatin	4.05073	1.29849	0.02419	0.02502	0.03123	0	1.23158	5.88777
Active Enhancer	22.85912	17.25665	7.73848	4.71746	39.97124	3.55543	4.74369	4.77378
Bivalent Enhancer	0.68293	4.49081	2.33412	5.04369	2.45108	8.05403	2.61316	6.79865
Weak Enhancer	1.19104	1.1423	0.53217	1.09344	1.0988	9.58291	1.0041	2.90117
