	E10.5	E11.5	E12.5 	E13.5	E14.5	E15.5	E16.5	P0	Adult
Act Pro	0.21728	0.38262	0.33282	0.34606	0.44433	0.32121	0.35626	0.5909	1.03187
Flnk Pro	0.75673	0.14291	0.31563	0.34491	0.22753	0.52206	0.42195	0.16018	Nan
Bi Pro	0.7079	0.26406	0.39152	0.33609	0.1955	0.25571	0.22551	0.10664	Nan
Wk Pro	0.21651	0.45131	0.32056	0.44539	0.47953	0.37564	0.41171	0.43633	0.67488
Act Enh	0.83855	0.23309	0.37323	0.45417	0.39367	0.34244	0.41919	0.16066	1.93284
Bi Enh	1.71528	0.52586	1.06915	1.30872	1.00154	1.82989	1.53145	0.53207	Nan
Wk Bi Enh	0.21121	0.35418	0.28964	0.36717	0.50563	0.3039	0.4115	0.47198	2.78428
Poised	3.33002	1.49123	3.37649	3.14636	1.95308	3.50865	2.95593	0.82982	Nan
Acc	0.98963	1.95167	1.18017	1.51775	1.72545	1.54313	1.64465	2.29786	3.33938
Alt Splicing	0.79354	0.05395	0.20041	0.35713	0.0527	0.17668	0.08248	0.03207	Nan
Strong Transcribed	5.49675	1.61965	3.95283	5.27389	2.10334	4.10355	2.75905	3.14555	Nan
Transcribed	1.75837	0.39816	1.0903	1.49622	0.30273	0.97993	0.6852	0.4964	Nan
Rp PC	1.60824	0.34747	1.10547	0.68198	0.19319	0.3889	0.32516	0.08172	Nan
Wk Rp PC	3.78922	1.47626	4.70884	3.33351	1.02488	1.88553	1.95467	0.766	Nan
Het	3.20161	2.95283	2.55146	2.19859	1.56502	1.34467	2.03061	1.06023	Nan
Quiescent	24.78972333	29.11825	26.24716333	26.13069	29.27729	27.37270667	27.92823	29.61053333	90.23675
