Start_State	End_State	BasePairs
2	15	2800
13	18	56600
1	9	434600
12	1	70000
2	16	198800
12	2	67800
2	17	18638600
2	18	485000
12	3	507600
12	4	4600
12	5	4600
6	1	72000
12	10	489600
12	6	42600
6	2	958600
12	11	1994800
12	7	200
6	3	4310600
12	12	1911000
12	8	5000
6	4	21400
12	13	257800
12	14	64800
6	5	675600
12	9	56000
12	15	32800
6	6	39121400
12	16	35600
6	7	2018600
6	8	697000
12	17	316800
12	18	50200
6	9	12809400
17	1	490200
17	2	5403400
9	10	11110000
9	11	261800
17	3	15386400
17	4	21600
9	12	27800
9	13	22000
17	5	547000
9	14	3200
17	6	12552400
9	15	1000
17	7	846800
2	1	1665800
9	16	23800
17	8	4996000
2	2	7086800
2	3	10368200
17	9	119127400
9	17	181218200
2	4	19400
9	18	1442800
2	5	115000
1	10	1437800
2	6	1066200
1	11	510000
2	7	51600
1	12	84000
2	8	78400
1	13	258400
1	14	8800
8	10	296000
2	9	3376000
1	15	6200
8	11	18000
13	1	1943600
8	12	2600
13	2	1122400
1	16	272800
8	13	800
13	3	608800
1	17	5800200
8	14	1800
13	4	13200
1	18	327000
8	15	200
13	5	8200
7	1	56800
8	16	1600
13	6	28600
7	2	778200
11	10	991800
7	3	2083800
11	11	846000
8	17	7826800
13	8	800
7	4	215000
11	12	165200
8	18	180600
13	9	30000
11	13	68000
7	5	6364600
11	14	8600
7	6	64980200
18	10	2546400
11	15	3400
18	11	509000
7	7	63640600
11	16	37800
7	8	269000
18	12	204400
18	13	65400
7	9	2621800
11	17	1507000
7	10	963600
18	14	20400
7	11	31200
11	18	124000
18	1	136600
7	12	4000
18	15	176600
18	2	1019200
7	13	5800
18	3	2775000
18	16	1267000
7	14	600
18	4	24200
18	17	57026400
18	5	251000
18	18	27720400
7	16	2600
18	6	1469000
10	10	2276800
18	7	141400
10	11	212000
3	1	1078600
7	17	7995800
7	18	76600
10	12	36000
18	8	520000
3	2	6585000
10	13	19400
18	9	7593200
3	3	15013600
3	4	13200
10	14	4200
17	10	9320200
10	15	400
3	5	197200
17	11	507600
10	16	13400
3	6	2664200
17	12	72200
17	13	40800
3	7	126400
10	17	14523200
17	14	7200
3	8	157400
10	18	238000
17	15	1800
3	9	11803600
17	16	181000
14	1	5800
14	2	4000
17	17	323312000
14	3	10400
17	18	8991600
14	4	400
14	5	200
8	1	8200
14	6	2800
8	2	72200
8	3	111200
14	8	200
8	4	48600
14	9	11000
8	5	335000
8	6	508600
8	7	61000
8	8	37197400
8	9	40750200
6	10	2070800
6	11	110000
6	12	11000
6	13	7000
6	14	1200
6	15	200
6	16	4600
4	1	842800
4	2	2848400
6	17	31037400
6	18	123800
4	3	4040200
4	4	1383800
4	5	2698600
16	10	2251000
4	6	2122600
16	11	832800
16	12	256200
4	7	913200
4	8	32600
5	10	1408400
16	13	259600
4	9	92000
16	14	17600
5	11	202200
5	12	23800
16	15	291000
15	1	910600
5	13	21800
15	2	523600
16	16	3564000
5	14	3000
15	3	397200
16	17	14828800
5	15	400
15	4	30800
10	1	118000
16	18	10113400
15	5	25600
9	1	316800
5	16	26200
10	2	902200
15	6	19000
5	17	8235200
10	3	1798000
9	2	3220800
15	7	3600
10	4	2600
5	18	399000
9	3	6512200
9	4	1000
15	8	4600
10	5	45600
15	10	358800
10	6	705800
9	5	132000
15	9	11800
10	7	55000
9	6	8326400
15	11	1074400
10	8	158800
9	7	464400
15	12	2432400
4	10	929600
9	8	8887400
15	13	2800000
10	9	5912800
4	11	1302000
15	14	1076800
9	9	1212424800
4	12	951400
15	15	5221200
4	13	753600
15	16	2651200
4	14	127200
15	17	382400
4	15	96400
15	18	1405400
4	16	171200
4	17	2118200
4	18	244000
5	1	144800
5	2	1473200
14	10	57400
5	3	4565600
5	4	396400
14	11	112600
5	5	7098600
14	12	618400
5	6	13417800
14	13	357000
3	10	5033600
3	11	814000
5	7	6947800
14	14	4667800
14	15	24200
3	12	99200
5	8	2366200
14	16	1400
3	13	131800
5	9	1282400
14	17	57600
3	14	5200
16	1	1168200
3	15	4800
14	18	1600
16	2	3620600
3	16	276000
16	3	5675200
16	4	36600
11	1	108400
3	17	45538600
16	5	148000
3	18	1384600
11	2	254600
16	6	376400
11	3	1242400
11	4	4000
16	7	33000
13	10	450800
1	1	2307200
11	5	19600
16	8	46000
13	11	1370000
1	2	5869200
11	6	189800
1	3	5293600
13	12	4271200
16	9	395000
11	7	7200
1	4	15000
13	13	6275200
2	10	2908200
11	8	8000
1	5	40200
2	11	526000
13	14	3703000
1	6	204600
13	15	293200
2	12	69200
11	9	181400
1	7	14200
2	13	175400
13	16	148200
1	8	13000
2	14	4800
13	17	338800
