Start_State	End_State	BasePairs
13	18	200
2	15	200
1	9	34000
2	16	37400
12	1	46600
12	2	4400
2	17	6384000
2	18	57200
12	3	29600
12	4	49000
6	1	200
12	5	7400
12	10	95000
6	2	8800
12	6	16400
12	11	2077800
12	7	200
6	3	262000
12	12	6932200
6	4	400
12	8	600
12	13	534400
12	9	5000
6	5	1212200
12	14	1301000
12	15	85200
6	6	103755800
12	16	8800
6	7	17576800
12	17	42200
6	8	328200
12	18	4200
6	9	9093800
17	1	400
9	10	4211400
17	2	137000
9	11	76400
17	3	2854800
9	12	2800
17	5	98600
9	14	400
17	6	27081400
17	7	226200
2	1	364200
17	8	1565600
2	2	8212200
2	3	6140600
17	9	364113000
9	17	39411400
9	18	9200
2	4	38800
2	5	1213000
1	10	1609200
2	6	1379800
1	11	1226800
2	7	67000
1	12	113200
2	8	5000
1	13	149000
1	14	78000
8	10	155400
2	9	1764800
8	11	6000
1	15	4400
13	1	854600
1	16	79600
13	2	40400
13	3	11600
1	17	158400
1	18	14600
13	4	62400
13	5	4600
13	6	1000
11	10	1647600
7	3	1000
11	11	5196200
8	17	5526800
7	4	200
8	18	15600
11	12	936400
13	9	600
7	5	1612800
11	13	35200
11	14	96200
7	6	12074600
18	10	766400
11	15	8200
18	11	188400
7	7	61470200
11	16	41000
18	12	9200
7	8	16600
7	10	22600
7	9	42600
11	17	1026600
18	1	200
7	11	400
11	18	71600
18	2	8800
18	15	12800
18	3	204200
18	16	224200
18	4	200
18	17	30828400
18	5	112000
18	18	16605400
18	6	788600
10	10	19172200
18	7	75800
3	1	13800
7	17	84000
10	11	576400
10	12	54800
18	8	109200
3	2	977800
10	13	3400
18	9	3430800
3	3	9635000
3	4	3600
10	14	26800
17	10	8581400
10	15	600
3	5	615600
17	11	330600
17	12	14000
10	16	7000
3	6	9844200
3	7	326400
10	17	10967600
17	14	800
3	8	23600
10	18	88800
3	9	12509600
14	1	6000
17	16	3400
14	2	600
17	17	314693000
14	3	200
17	18	1001800
14	5	200
8	2	400
8	3	14600
8	4	1800
8	5	57200
8	6	1020200
8	7	25400
8	8	21357200
8	9	27257200
6	10	1045800
6	11	23200
6	12	400
4	1	13800
4	2	58000
6	17	14486200
6	18	4600
4	3	48800
4	4	562400
4	5	1050600
16	10	1322800
4	6	88400
16	11	629800
16	12	62000
4	7	123000
16	13	1400
4	8	15600
5	10	492400
16	14	3800
5	11	28400
5	12	600
15	1	29000
16	15	139800
15	2	3800
16	16	1323200
5	14	200
15	3	5800
16	17	1866000
5	15	400
15	4	13000
10	1	33200
16	18	2701400
9	1	200
15	5	6000
5	16	3000
10	2	447600
15	6	800
5	17	376600
10	3	942000
9	2	27400
10	4	1600
15	7	200
5	18	8200
9	3	359800
10	5	687800
15	9	600
15	10	27600
10	6	2528800
9	5	1400
10	7	96600
15	11	546800
9	6	4880400
10	8	24200
15	12	1624200
9	7	16200
4	10	62400
15	13	182400
9	8	4906800
10	9	9241400
4	11	141800
15	14	581800
9	9	1365009600
4	12	53200
15	15	2574000
4	13	7600
15	16	476400
4	14	11200
15	17	8400
4	15	2400
15	18	75800
4	16	5800
4	17	6600
5	1	200
4	18	200
5	2	24600
14	10	12000
5	3	119200
5	4	26600
14	11	40800
14	12	315800
5	5	6586200
14	13	107400
5	6	4509000
3	10	7914600
3	11	738400
5	7	5875800
14	14	9238200
14	15	4800
3	12	7400
5	8	591400
3	13	200
5	9	63800
14	17	200
16	1	19600
16	2	108400
3	16	15800
16	3	432000
16	4	3800
11	1	97200
3	17	37816400
16	5	94400
3	18	257600
11	2	148200
16	6	73400
11	3	1031600
16	7	2800
11	4	35000
13	10	30200
1	1	2907800
16	8	400
11	5	108400
13	11	498000
1	2	4320200
1	3	566200
16	9	92200
11	6	397200
13	12	1784600
1	4	76800
11	7	9200
13	13	3350800
2	10	15576600
11	8	6000
1	5	86400
2	11	561800
13	14	4794800
2	12	3600
1	6	18800
11	9	342600
13	15	79000
1	7	800
13	16	5800
2	13	2000
1	8	200
2	14	2000
13	17	1200
