Start_State	End_State	BasePairs
12	1	493200
12	2	143400
12	3	95800
12	4	714600
12	5	4666400
6	1	9694200
6	2	5348400
12	6	5801000
6	3	11890400
6	4	140838200
6	5	205200
6	6	482400
17	1	19175600
17	2	10799400
17	3	26104400
17	4	405825800
17	5	465800
17	6	1313000
2	1	2392800
2	2	6060600
2	3	2198000
2	4	3496200
2	5	307200
2	6	73800
13	1	116400
13	2	221600
13	3	68400
13	4	96800
13	5	3250200
7	1	5494000
13	6	620400
7	2	2863400
7	3	5941000
7	4	71445200
7	5	60200
7	6	88800
18	1	735800
18	2	160800
18	3	402200
18	4	19222800
18	5	84800
18	6	310000
3	1	2111800
3	2	3245600
3	3	4713000
3	4	11730800
3	5	253200
3	6	604600
14	1	106000
14	2	115600
14	3	58600
14	4	109000
14	5	14264000
8	1	178200
8	2	34200
14	6	1482000
8	3	155800
8	4	28454600
8	5	2200
8	6	125600
4	1	81200
4	2	182600
4	3	57400
4	4	71400
4	5	297200
4	6	185800
15	1	169600
15	2	26000
15	3	39000
15	4	522000
10	1	18393200
15	5	762200
9	1	25999600
10	2	9740000
15	6	1393000
9	2	8013400
10	3	4309400
9	3	17260600
10	4	29013400
10	5	638000
9	4	1741379800
9	5	154600
10	6	651600
9	6	689600
5	1	3254000
5	2	2969800
5	3	1623200
5	4	5286200
5	5	189200
5	6	232400
16	1	343600
16	2	97600
16	3	100800
16	4	1322200
11	1	1867800
16	5	108600
11	2	813800
11	3	658800
16	6	258600
1	1	587000
11	4	3979800
11	5	1616800
1	2	1947000
1	3	358200
11	6	3951000
1	4	475200
1	5	853200
1	6	166400
